date,close,CDL_ENGULFING,CDL_HAMMER,CDL_HANGINGMAN,CDL_DOJI,CDL_MORNINGSTAR,CDL_EVENINGSTAR,CDL_3WHITESOLDIERS,CDL_3BLACKCROWS,CDL_PIERCING,CDL_DARKCLOUD,EMA_5,EMA_30,EMA_100,macd,macd_signal,macd_diff,macd_z,macd_price_slope_diff,divergence_strength,rsi,bb_ma,bb_std,bb_upper,bb_lower,bb_dist_upper,bb_dist_lower,bb_pos,bb_break_upper,bb_break_lower,bb_break_lower_cumulative,bb_break_upper_cumulative,OBV,AD,CMF,MFI,volume_avg,ForceIndex,hammer_rsi_low,engulfing_near_bb_lower,mfi_oversold_breakout,macd_bull_cross,bb_rsi_overbought,force_volume_spike,3crows_rsi_high,bullish_signals,bearish_signals,doji_rsi_extreme,hammer_bb_low,hangingman_bearish,engulfing_with_divergence,morningstar_reversal,eveningstar_reversal,soldiers_after_acc,bullish_patterns,bearish_patterns,trading_volume_usd
2025-05-22,179.72,0,0,0,0,0,0,0,0,0,0,-0.0162936570195136,-0.0074452073216616,-0.0029770203163433,-0.000308738759603,-0.0003417623262329,3.302356662994037e-05,0.3700342765409695,-8.93344389404624e-05,-0.0001043268825552,31.515465032870367,0.0061025860254288,0.0004749357998112,0.0070524576250512,0.0051527144258063,0.2526939694827096,0.0847482351760696,0.2511488901092465,0,0,0,0,101036006.57000004,30092916.063607395,0.2003009445303348,63.89508809634593,1832235.24,1346999.1234615422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,382502539.27
2025-05-23,174.03,0,0,0,0,0,0,0,0,0,0,-0.0167386967745662,-0.0080333827264718,-0.0032250435331531,-0.0003174837094622,-0.0003369066028788,1.9422893416605024e-05,0.2661046787135729,-7.754496561165406e-05,-0.0001828912351314,38.45945506997988,0.0060404886374312,0.0004638278318725,0.0069681443011763,0.0051128329736861,0.2599874753169672,0.0754919485314683,0.2250270602753104,0,0,0,0,97421063.99000004,26816479.63737933,0.1102542894881986,59.70269197389457,1979929.0205,-813997.2268923025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653657871.87
2025-05-24,175.96,0,0,0,0,0,0,0,0,0,0,-0.0021060162023167,-0.0059413998784318,-0.0026940014724643,-0.0003080527324023,-0.0003311358287835,2.308309638121824e-05,0.4402605652972753,-8.411847878528056e-05,-0.0002509978833373,47.04944376176639,0.0059824640474744,0.0004285294249783,0.0068395228974311,0.0051254051975177,0.2022183674855922,0.0990809795261721,0.3288456497129529,0,0,0,0,98531078.09000003,26990102.2294402,0.1265716461799336,60.29465736479071,2003737.7945,-29721.701199992058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195112928.08
2025-05-25,175.81,0,0,0,100,0,0,0,0,0,0,0.0051226417330401,-0.0044321418176733,-0.0023103328373292,-0.0002882255249844,-0.0003225537680236,3.432824303929304e-05,0.7516844940200244,-3.6486285662810575e-05,-0.0001981497300597,51.93255538900901,0.0059285153772733,0.0003740467257091,0.0066766088286916,0.005180421925855,0.1509409451293718,0.1069778295397057,0.4147733319412808,0,0,0,0,97107735.07000004,27993079.694180757,0.1353586872085808,56.92050967884576,2024848.9515,-308961.9003076874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,245361650.31
2025-05-26,174.98,0,0,0,100,0,0,0,0,0,0,-0.0045047014992019,-0.0055809816147245,-0.0026812716175858,-0.0002802667506904,-0.000314096364557,3.3829613866568665e-05,0.8399607257939342,-4.574329566404793e-05,-0.0001663480601121,49.54435391463602,0.0058651643510576,0.0002938677434636,0.0064528998379849,0.0052774288641304,0.1391096630584725,0.0683924489502252,0.3295988088418033,0,0,0,0,95966946.36000004,27438157.157228656,0.0997327011507219,55.29792429716191,2032499.702,-2158267.067484614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,201379763.47
2025-05-27,176.8,80,0,0,0,0,0,0,0,0,0,-0.0033734551358429,-0.0053142249488269,-0.0026537824588267,-0.0002713253559216,-0.0003055421628299,3.421680690835139e-05,0.9341375837969068,-1.7002797753459118e-06,-8.392986110219944e-05,49.684377819158456,0.0058075735762691,0.0001951124227914,0.0061977984218519,0.0054173487306863,0.0952602762232091,0.0426589470465483,0.3093038521766562,0,0,0,0,97441218.08000004,27939264.293521628,0.1086036693241832,57.002999623189,2044238.6295,-857514.3120153801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,260529810.97
2025-05-28,172.28,-80,0,0,0,0,0,0,0,0,0,0.0058073139741143,-0.0035482722772941,-0.0021893710179824,-0.0002502331639502,-0.000294480363054,4.424719910381229e-05,1.203431476113021,3.979874210105188e-05,-7.644833338336972e-06,55.70949630382137,0.0057789272280657,0.0001435006632626,0.006065928554591,0.0054919259015405,0.046468162302462,0.0525563309945923,0.5307407212570479,0,0,0,0,96161719.13000004,27643995.30509503,0.0372560243123718,59.217245860348186,1973077.0560000003,101772.53528462265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220733710.07
2025-05-29,166.71,0,0,0,0,0,0,0,0,0,0,0.0076314224293376,-0.0026448493979167,-0.0019527287762137,-0.0002256694114594,-0.0002807181727351,5.504876127563897e-05,1.4830474859799716,1.8024989549537613e-05,5.612345187524857e-05,50.76694296963333,0.0057765694833752,0.0001416306081587,0.0060598306996927,0.0054933082670577,0.0338196568706814,0.0628302424319462,0.6500807852392458,0,0,0,0,94677933.50000004,26369461.494846582,-0.0365906741782562,58.88290144473402,1906004.7995,-331863.31819229986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253136898.85
2025-05-30,156.26,0,0,0,0,0,0,0,0,0,0,0.0240976207420915,0.0010113765600689,-0.000911053270059,-0.0001775304790084,-0.0002600806339897,8.25501549813346e-05,2.005411702116065,5.597289830666548e-05,0.0001137966299572,58.82281769473574,0.0057967433066237,0.000169375036724,0.0061354933800718,0.0054579932331755,-0.0090553125840051,0.1184784884725354,1.082754978645747,1,0,0,1,92877476.65000004,24841891.02091969,-0.1069704575072399,59.281655683689394,1922694.998,-1631248.7230615353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290792123.78
2025-05-31,156.53,0,0,0,100,0,0,0,0,0,0,0.0297765480854692,0.0035877560117225,-0.0001305299717591,-0.0001178530172579,-0.0002316351106434,0.0001137820933854,2.459358975359321,0.0001228456972229,0.0001968435850791,60.58774869981716,0.0058321222430955,0.000221455510367,0.0062750332638296,0.0053892112223614,-0.0258435963050118,0.1633614671989327,1.1879290025144964,1,0,0,2,94103218.19000006,25419202.735906497,-0.0801463559083462,53.91801579817477,1898309.1535,-2586323.0793846096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,190288070.24
