date,trading_volume_usd,close,search_trends,btc_close,halving_index,dxy,sp500_close,fed_rate,vmd_1,vmd_2,vmd_3,vmd_4,vmd_5,vmd_6,vmd_7,vmd_8,vmd_9,vmd_10,CDL_ENGULFING,CDL_HAMMER,CDL_HANGINGMAN,CDL_DOJI,CDL_MORNINGSTAR,CDL_EVENINGSTAR,CDL_3WHITESOLDIERS,CDL_3BLACKCROWS,CDL_PIERCING,CDL_DARKCLOUD,EMA_5,EMA_30,EMA_100,macd,macd_signal,macd_diff,macd_z,macd_price_slope_diff,divergence_strength,rsi,bb_ma,bb_std,bb_upper,bb_lower,bb_dist_upper,bb_dist_lower,bb_pos,bb_break_upper,bb_break_lower,bb_break_lower_cumulative,bb_break_upper_cumulative,OBV,AD,CMF,MFI,volume_avg,ForceIndex,hammer_rsi_low,engulfing_near_bb_lower,mfi_oversold_breakout,macd_bull_cross,bb_rsi_overbought,force_volume_spike,3crows_rsi_high,bullish_signals,bearish_signals,doji_rsi_extreme,hammer_bb_low,hangingman_bearish,engulfing_with_divergence,morningstar_reversal,eveningstar_reversal,soldiers_after_acc,bullish_patterns,bearish_patterns
2025-07-13,138616610.04,161.22,36,119127.66,0.6924657534246575,119.9214,6259.75,4.33,150.8937881084813,2.2805976007446684,5.948060320764287,2.306045374377358,-1.3389114254101702,0.2224866422015324,0.13646810597986,0.2344384084788379,-0.1215141294095821,-0.0519278683288599,0,0,0,100,0,0,0,0,0,0,-0.0068535260387806,-0.0040286582263908,-0.0012315921499388,-0.0001212421097438,-4.487939423358259e-05,-7.636271551023878e-05,-1.969569344951458,-6.899236681392993e-05,-0.0002208775358265,37.4248485573574,0.0066064387351455,0.00027022809825,0.0071468949316456,0.0060659825386453,0.1577761910653876,0.0173284725979861,0.0989606572175538,0,0,0,0,87754886.12000011,25834372.885927208,0.0581652041520538,72.79273107041081,1182788.2165,860743.0094076964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-07-14,288370746.54,162.26,36,119869.01,0.6917808219178082,120.2209,6268.56,4.33,150.96799328901682,3.3312102259568475,4.86752496480125,3.2645772395278243,-0.9968471821842906,1.4584973846432705,-0.5584141585897785,-0.1185566244003773,0.0718494933420498,0.0379726607530113,0,0,0,0,0,0,0,0,0,0,-0.011697687902891,-0.0050951590903516,-0.0016101105502305,-0.0001431934971912,-6.454221482511673e-05,-7.865128236613651e-05,-1.9476776177281463,-6.0934153613224046e-05,-0.0001933145223521,37.40104442489963,0.0065623382464603,0.0002874915358401,0.0071373213181406,0.00598735517478,0.1817383035355115,0.0086635263392601,0.0455012766681824,0,0,0,0,89496553.18000011,24771846.440652046,-0.0278459469257651,71.47617596979842,1191222.372,1743468.8146692328,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-15,226893508.78,164.03,36,117777.9,0.6910958904109589,120.5105,6243.76,4.33,151.2261273769755,4.586332196371513,3.767253031735737,3.3330144933982195,0.4116733938550284,0.0995895711938855,0.3155355000771606,0.0036793890931409,0.0186178084988645,-0.0219170931735772,0,0,0,0,0,0,0,0,0,0,0.0019507649725054,-0.0029847304203131,-0.0010297550104038,-0.0001441902631387,-8.047182448783752e-05,-6.371843865088313e-05,-1.7742722456625128,1.246300879846115e-05,-0.0001174635116286,34.897606751706974,0.0065293893634986,0.0002867731036028,0.0071029355707043,0.0059558431562929,0.1415247832664909,0.0428263778433345,0.2323086959990512,0,0,0,0,90908357.8100001,26099184.126787752,0.0569783168794909,74.02793455559203,1197762.946,1397615.9294769275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-16,448832181.75,173.73,36,118700.37,0.6904109589041096,120.4175,6263.7,4.33,152.03919450285906,6.440089317648346,4.411380501212043,2.767852456334856,2.770988210432527,-0.056847935161068,0.9024918049224216,0.3801231939729976,0.0442666047153446,0.0505020221875114,0,0,0,0,0,0,0,0,0,0,-0.0163358660060398,-0.0060527121230863,-0.0020006514846196,-0.0001694847661517,-9.827441282062052e-05,-7.12103533311319e-05,-1.7948628347182232,-2.18637540300248e-05,-7.03348988447827e-05,30.19471511538181,0.0064748159932644,0.0002989233463384,0.0070726626859413,0.0058769693005875,0.1998893487907193,0.0029620837196013,0.0146022321999162,0,0,0,0,93553967.2800001,27888432.404584628,0.1672762940908014,75.65412343712441,1269781.3925,3367148.179053848,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17,370359016.35,176.0,36,119282.74,0.6897260273972603,120.6384,6297.36,4.33,152.8442047848049,8.40955524702569,5.51600205714656,1.884217305245545,3.2306728584575843,0.3553670784799438,-0.5361862735210915,-0.3310354492830513,0.0093614416099077,-0.012013654676451,0,0,0,0,0,0,0,0,0,0,-0.0198924948553401,-0.0073067194423179,-0.0024532063156736,-0.0002002417091368,-0.0001186678720838,-8.157383705299625e-05,-1.8348777633906583,-7.61937389659701e-05,-8.559448419752876e-05,29.22505169213052,0.0064085976301485,0.0003095625844241,0.0070277227989968,0.0057894724613002,0.2258187233452255,-0.0098354679507889,-0.0455381040202727,0,1,1,0,95677266.96000011,29005364.75473161,0.1909943855817657,81.9543467050315,1321604.3165000002,4041819.5844846186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-18,493005880.88,177.36,36,118025.92,0.689041095890411,120.356,6296.79,4.33,153.58691168892275,10.224111689997288,6.4082401398735,1.5940111694563144,1.9030373398996097,0.1268068040138098,-0.2408107803686231,0.203262668774486,0.0385968270445453,0.0320256821824828,0,0,0,0,0,0,0,0,0,0,-0.0216557881674374,-0.0083498009303936,-0.0028523917114789,-0.0002336763416228,-0.0001416695659916,-9.200677563121568e-05,-1.8713349547147076,-9.4617411778025e-05,-0.000192674904774,20.532021774507967,0.0063493407635271,0.0003473484480208,0.0070440376595688,0.0056546438674854,0.2606938894786345,-0.0120296505275928,-0.0483770830029214,0,1,2,0,98431902.34000012,28180667.0686056,0.1248175143279788,77.18956295402158,1405811.3465,4333981.970838468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-19,270528871.82,177.05,36,117913.27,0.6883561643835616,120.356,6296.79,4.33,154.22354353543523,11.84009418113186,6.781346328459367,1.8574726329048536,-0.9066869180493156,-0.297359556805518,0.6385479387862647,0.0434928950681085,-0.0615144535108356,-0.0231111144014446,0,0,0,100,0,0,0,0,0,0,-0.0113294027002405,-0.0072675294252139,-0.0026210352975202,-0.0002524133668724,-0.0001638183261678,-8.859504070462732e-05,-1.810200913759967,-5.658393178036934e-05,-0.0002273950825243,19.930259983400816,0.0063020377334192,0.0003756031476869,0.0070532440287931,0.0055508314380454,0.2489054193710562,0.0171241152737555,0.0643692261335521,0,0,1,0,96904079.5600001,28596127.64904081,0.1226701663879286,78.73973660522364,1440885.2170000002,4067573.927076929,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2025-07-20,369233722.51,181.54,36,117328.61,0.6876712328767123,120.356,6296.79,4.33,154.96418641623336,13.547080053200558,7.01295041231054,2.878108515509448,-1.4960888366846723,0.4620578419857138,0.2140149801308709,-0.0503483359188182,0.1384647326013773,0.0526435246966243,80,0,0,0,0,0,0,0,0,0,-0.0133591261095795,-0.0078611533200372,-0.0028783994530346,-0.0002721285598116,-0.0001854803728965,-8.664818691506338e-05,-1.7636851329883718,-0.0001092045103622,-0.0002604058539206,20.464665383650583,0.006256386053826,0.0004091986845983,0.0070747834230226,0.0054379886846293,0.2751121165635783,0.0198929286030215,0.0674325030332525,0,0,0,0,98952721.8600001,29423463.96238869,0.1613941835120658,85.84104284907431,1445866.094,5077524.873769234,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2025-07-21,767167569.74,195.82,36,117441.75,0.686986301369863,119.9961,6305.6,4.33,156.28475764277087,16.101588171734033,8.63294488688435,4.265890669072424,1.732411600173902,1.8163221398584437,0.3653980233688096,0.5358937435414763,0.0914546358849247,0.026390396270076,0,0,0,0,0,0,0,0,0,0,-0.0298223230175407,-0.0110739466305853,-0.0039178764431228,-0.0003128550590511,-0.0002109553101275,-0.0001018997489236,-1.8363033908515665,-0.0001116953713987,-0.0002774838135414,16.844639571951646,0.006180595407181,0.0004584820764571,0.0070975595600952,0.0052636312542667,0.3668652007431882,-0.0136828483204525,-0.0387415968736601,0,1,1,0,102936302.3300001,32033787.347165037,0.2535264801931057,87.81293945571359,1584264.6035,9256839.67401539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-22,851563456.61,205.8,36,120023.5,0.6863013698630137,119.681,6309.62,4.33,153.26671982235922,8.927619726891377,21.2106331550952,9.49435813899612,4.598461151294488,1.1008168503205178,0.3512484823363347,-0.2294320345395999,-0.0341880121622153,0.0209513412289098,0,0,0,0,0,0,0,0,0,0,-0.0327196995120392,-0.012587618362051,-0.0044786531863566,-0.0003573874097252,-0.000240241730047,-0.0001171456796781,-1.927896982029413,-0.0001172606492049,-0.000338160530966,15.344689275839457,0.0060985198913083,0.0005168004320769,0.0071321207554622,0.0050649190271545,0.4293870010474347,-0.0150878913860006,-0.0364178706498559,0,1,2,0,107185293.9600001,35875201.842085786,0.3241983691532245,78.44867718081943,1732184.8335000002,11823511.170015393,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-23,545246153.35,189.5,36,118808.78,0.6856164383561644,119.5697,6358.91,4.33,154.0094444527294,10.6667895603753,21.04226548214852,7.805089608433775,1.422382556582494,-3.0816675120249,-1.4275378406935613,-0.6030582211682409,-0.160908205998182,-0.0498270114274268,-80,0,0,0,0,0,0,0,0,0,-0.009804499872946,-0.0097686709421274,-0.0037784149040758,-0.0003718795983159,-0.0002665693037008,-0.0001053102946151,-1.863540865650351,-5.0988765702806784e-05,-0.0002799447863065,23.59713908995778,0.0060316583875859,0.0005436390957826,0.0071189365791512,0.0049443801960206,0.3705333343877091,0.0481109360661498,0.1149208037983942,0,0,1,0,104353131.70000008,34450001.51444205,0.2782555678800272,70.6900820221325,1815300.332,7410906.304500004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-07-24,500594161.49,182.97,36,118397.33,0.684931506849315,119.5664,6363.35,4.33,154.7362504751038,12.468819871452602,19.456396493800582,4.103195568699173,-4.027288250898064,-2.221843677519243,0.2284307855693872,0.6972291301404073,0.1633861976834531,0.0258615840141254,0,0,0,0,0,0,0,0,0,0,0.0041010252677216,-0.0074176479276781,-0.0031908009243504,-0.0003654236618735,-0.0002863401753353,-7.908348653817523e-05,-1.703924168201424,-3.40220404990271e-05,-0.0002022714554067,31.216338808781813,0.0059646751516364,0.0005389385510806,0.0070425522537977,0.0048867980494751,0.3128263919612783,0.0890351650459929,0.2215568110297794,0,0,0,0,101667734.33000007,33259346.85925789,0.2432082122862896,62.53050811099962,1907088.0715,6262162.558369238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-25,548134766.85,186.8,36,117644.11,0.6842465753424658,119.9857,6388.64,4.33,154.09163458866274,10.254901980076443,20.491790895326787,5.859825102042058,-4.612469177351715,2.6655593669886857,1.24680774158858,-0.3303686156370051,-0.1292691397195062,-0.0404041303337019,0,0,0,0,0,0,0,0,0,0,0.0149288453454541,-0.0049015573845802,-0.0025323574934194,-0.0003406582146841,-0.0002972037832051,-4.345443147898997e-05,-1.4697591266652996,1.5886110331342004e-05,-6.91246958704869e-05,38.99883761103117,0.0059037164973019,0.0005102359667213,0.0069241884307446,0.0048832445638592,0.2455227869495622,0.1216021286295236,0.3312282099887284,0,0,0,0,104714959.52000009,36240981.55162726,0.2985005218693634,65.06346476521345,2039523.598,7301436.248592318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-26,184124510.84,184.92,36,117971.27,0.6835616438356165,119.9857,6388.64,4.33,158.598068972558,21.240741327335183,8.98614880962009,-4.287399677947377,-2.245008996376555,2.440125607066338,-1.0717551938096537,-0.3150099537016155,0.01752188621636,0.0242998914775794,0,0,0,0,0,0,0,0,0,0,-0.0026365401232617,-0.0067802678680516,-0.0031163236479093,-0.0003334539152803,-0.0003044538096201,-2.900010566017505e-05,-1.3498162953454758,3.713863395209977e-05,1.9002703784419657e-05,32.80556565028607,0.0058400927226091,0.0004939617589131,0.0068280162404355,0.0048521692047827,0.2744361386009988,0.0943519219298719,0.2558432119360161,0,0,0,0,103728480.00000007,35434865.824613474,0.2691769430701355,65.41190778453017,2054002.8245,7128498.457469238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27,198444213.45,188.71,36,119468.71,0.6828767123287671,119.9857,6388.64,4.33,159.5410380148745,22.888923376091068,6.116082893876799,-4.905327704938279,3.420911591950942,-1.818205389906597,-0.0860985652563547,0.8312861881352835,0.1290175226924604,0.0097301587237805,80,0,0,0,0,0,0,0,0,0,-0.0033790264829386,-0.0066695633876053,-0.0031457740841229,-0.0003260933756417,-0.0003087817228244,-1.7311652817296854e-05,-1.2415207033083122,6.212462337478117e-05,0.0001151493676582,32.941140214227204,0.0057747800452836,0.0004686439739164,0.0067120679931165,0.0048374920974507,0.2589329743288937,0.0926673685693181,0.2635588117049854,0,0,0,0,104786495.86000007,35790995.346058555,0.2988854741235975,59.699015690066666,2041387.6445,7297617.408776934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-07-28,392184056.3,183.13,36,118059.92,0.6821917808219178,120.6149,6389.77,4.33,160.0801463987836,23.822934119875363,2.471041700143155,-3.433751118139393,2.7896935299585746,-2.6968098951823505,0.7750271489488216,-0.7820772221392176,-0.2786728566015121,-0.0276496998303713,-80,0,0,0,0,0,0,0,0,0,-0.0043684679640874,-0.006651979517723,-0.0031996071012029,-0.0003193186123436,-0.0003108891007283,-8.429511615323955e-06,-1.1399829495065732,1.0152171663749612e-05,0.0001094154289906,34.32346768793029,0.0057076783802979,0.0004330177501054,0.0065737138805087,0.0048416428800871,0.2408843920853567,0.0860692766436067,0.2632460953204842,0,0,0,0,102708860.11000007,34002228.73790643,0.2362039133529768,59.18752246868919,2099978.001,6213609.587230776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-07-29,281675365.23,181.47,36,117942.11,0.6815068493150684,120.9674,6370.86,4.33,160.5337037162705,24.478621184211494,-2.105558650069796,1.9138185426446803,-3.8711656412153737,1.4627081436705405,-0.7684626780241741,0.3554741559166378,0.2827106490717608,0.0389743284025661,0,0,0,0,0,0,0,0,0,0,0.0093065615752214,-0.004108026000178,-0.0025297259093874,-0.0002947271850717,-0.000307656717597,1.2929532525249225e-05,-0.9312038346814788,1.1720712466410827e-05,8.39975075049466e-05,34.69522847352724,0.0056588796441274,0.0003960373313807,0.0064509543068889,0.0048668049813659,0.1742415287427011,0.1141148658720287,0.395742449285706,0,0,0,0,101161414.49000008,33640296.34950094,0.1975706446488686,53.55379021521631,2093352.0755,4041981.003523087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
